Time (s),Torque (Nm),Position (rad),Velocity (rad/s)
0.004578126,0,0,0
0.006577862,0,0,0
0.008590125,0,0,0
0.010567670,0,0,0
0.012577905,0,0,0
0.014577826,0,0,0
0.016577551,0,0,0
0.018577420,0,0,0
0.020577664,0,0,0
0.022577623,0,0,0
0.024577440,0,0,0
0.026577717,0,0,0
0.028577180,0,0,0
0.030577332,0,0,0
0.032582647,0,0,0
0.034582406,0,0,0
0.036586027,0,0,0
0.038579975,0,0,0
0.040579057,0,0,0
0.042579404,0,0,0
0.044579118,0,0,0
0.046579027,0,0,0
0.048580094,0,0,0
0.050578871,0,0,0
0.052579140,0,0,0
0.054578816,0,0,0
0.056579001,0,0,0
0.058579182,0,0,0
0.060579367,0,0,0
0.062578469,0,0,0
0.064578836,0,0,0
0.066578837,0,0,0
0.068582085,0,0,0
0.070581445,0,0,0
0.072581861,0,0,0
0.074585195,0,0,0
0.076567369,0,0,0
0.078565850,0,0,0
0.080580490,0,0,0
0.082578909,0,0,0
0.084579601,0,0,0
0.086578684,0,0,0
0.088580225,0,0,0
0.090588256,0,0,0
0.092582272,0,0,0
0.094580873,0,0,0
0.096590118,0,0,0
0.098583268,0,0,0
0.100581148,0,0,0
0.102585004,0,0,0
0.104585115,0,0,0
0.106583502,0,0,0
0.108579483,0,0,0
0.110564503,0,0,0
0.112579212,0,0,0
0.114581252,0,0,0
0.116563594,0,0,0
0.118579007,0,0,0
0.120578292,0,0,0
0.122578387,0,0,0
0.124578500,0,0,0
0.126577723,0,0,0
0.129372746,0,0,0
0.130585033,0,0,0
0.132637698,0,0,0
0.134644945,0,0,0
0.136644426,0,0,0
0.138638710,0,0,0
0.140626373,0,0,0
0.142638970,0,0,0
0.144627973,0,0,0
0.146569105,0,0,0
0.148640985,0,0,0
0.150635995,0,0,0
0.152643657,0,0,0
0.154641927,0,0,0
0.156644330,0,0,0
0.158641981,0,0,0
0.160639972,0,0,0
0.162639864,0,0,0
0.164588444,0,0,0
0.166646951,0,0,0
0.168638684,0,0,0
0.170637816,0,0,0
0.172645975,0,0,0
